ID;Codigo;Descripcion;Aclaraciones;Precio_Dolares;Estado
1;CG_00001;Backup de datos;Tope 50Gb. $12 por Gb adicional. Incluye CD, Pendrive, HDD, SSD;13.0000;True;
2;CG_00002;Cable tipo taller 2 x 1,5 mm (por metro);;1.4300;True;
3;CG_00003;Cable UTP con terminales (por metro);;2.0000;True;
4;CG_00004;Caja de paso blanca 115x115x80 mm;Marca Genrod. Plástica;3.8700;True;
5;CG_00005;Cambio de pila interna Notebook / Netbook;;10.0000;True;
6;CG_00006;Cambio de pila interna PC de escritorio;;4.0000;True;
7;CG_00007;Conector para caja de paso 20 mm;Plástico;0.1700;True;
8;CG_00008;Ensamblado de PC nueva;Incluye sistema operativo y programas básicos;30.0000;True;
9;CG_00009;Ficha terminal hembra 10A;;0.8400;True;
10;CG_00010;Grampa para tira de caño plástico rígido 20 mm;Plástica;0.1700;True;
11;CG_00011;Instalación de cámara de seguridad;Incluye configuración para vista remota;27.0000;True;
12;CG_00012;Instalación de hardware en PC / Notebook / Netbook;;10.0000;True;
13;CG_00013;Instalación de periféricos de red (Por hora);Solo incluye la configuración de los equipos;11.0000;True;
14;CG_00014;Instalación de sistema operativo y programas básicos;Incluye limpieza interna y externa del equipo;24.0000;True;
15;CG_00015;Instalación de software en PC / Notebook;;8.0000;True;
16;CG_00016;Limpieza interna y externa Notebook / Netbook;Incluye cambio de pasta térmica y revisión de voltaje de pila;20.0000;True;
17;CG_00017;Limpieza interna y externa PC de escritorio;Incluye cambio de pasta térmica y revisión de voltaje de pila;15.0000;True;
18;CG_00018;Limpieza y optimización de software de PC / Notebook / Netbook;Solo incluye software básico;10.0000;True;
19;CG_00019;Mantenimiento de cámaras de seguridad (Por hora);;12.0000;True;
20;CG_00020;Recuperación de datos;Tope 100Gb. Incluye Pendrive, HDD, SSD;16.0000;True;
21;CG_00021;Tira de caño plástico rígido 20 mm para cableado;Tira de 3 mts;2.0000;True;
22;CG_00022;Reparación de Notebook por hora (carcaza, hardware, etc.);;1.8700;True;
27;CG_00023;Cable tipo taller 2 x 1 mm (por metro);;1.0100;True;
